Jurisdiction,Fire size class,Year,Number null
British Columbia,1000.1 - 10 000 ha,2001,3
British Columbia,100.1 - 1 000 ha,2001,11
British Columbia,10.1 - 100 ha,2001,39
British Columbia,1.1 - 10 ha,2001,190
British Columbia,0.11 - 1.0 ha,2001,302
British Columbia,Up to 0.1 ha,2001,775
British Columbia,1000.1 - 10 000 ha,2000,2
British Columbia,100.1 - 1 000 ha,2000,13
British Columbia,10.1 - 100 ha,2000,61
British Columbia,1.1 - 10 ha,2000,187
British Columbia,0.11 - 1.0 ha,2000,330
British Columbia,Up to 0.1 ha,2000,958
British Columbia,1000.1 - 10 000 ha,1999,3
British Columbia,100.1 - 1 000 ha,1999,17
British Columbia,10.1 - 100 ha,1999,59
British Columbia,1.1 - 10 ha,1999,140
British Columbia,0.11 - 1.0 ha,1999,235
British Columbia,Up to 0.1 ha,1999,744
British Columbia,1000.1 - 10 000 ha,1998,10
British Columbia,10 000.1 - 100 000 ha,1998,2
British Columbia,100.1 - 1 000 ha,1998,39
British Columbia,10.1 - 100 ha,1998,94
British Columbia,1.1 - 10 ha,1998,321
British Columbia,0.11 - 1.0 ha,1998,584
British Columbia,Up to 0.1 ha,1998,1613
British Columbia,1000.1 - 10 000 ha,1997,1
British Columbia,100.1 - 1 000 ha,1997,4
British Columbia,10.1 - 100 ha,1997,22
British Columbia,1.1 - 10 ha,1997,122
British Columbia,0.11 - 1.0 ha,1997,205
British Columbia,Up to 0.1 ha,1997,822
British Columbia,1000.1 - 10 000 ha,1996,3
British Columbia,100.1 - 1 000 ha,1996,12
British Columbia,10.1 - 100 ha,1996,31
British Columbia,1.1 - 10 ha,1996,123
British Columbia,0.11 - 1.0 ha,1996,261
British Columbia,Up to 0.1 ha,1996,930
British Columbia,1000.1 - 10 000 ha,1995,5
British Columbia,10 000.1 - 100 000 ha,1995,2
British Columbia,100.1 - 1 000 ha,1995,8
British Columbia,10.1 - 100 ha,1995,51
British Columbia,1.1 - 10 ha,1995,226
British Columbia,0.11 - 1.0 ha,1995,314
British Columbia,Up to 0.1 ha,1995,868
British Columbia,1000.1 - 10 000 ha,1994,7
British Columbia,100.1 - 1 000 ha,1994,25
British Columbia,10.1 - 100 ha,1994,114
British Columbia,1.1 - 10 ha,1994,314
British Columbia,0.11 - 1.0 ha,1994,689
British Columbia,Up to 0.1 ha,1994,2908
British Columbia,100.1 - 1 000 ha,1993,9
British Columbia,10.1 - 100 ha,1993,70
British Columbia,1.1 - 10 ha,1993,211
British Columbia,0.11 - 1.0 ha,1993,234
British Columbia,Up to 0.1 ha,1993,973
British Columbia,1000.1 - 10 000 ha,1992,7
British Columbia,100.1 - 1 000 ha,1992,27
British Columbia,10.1 - 100 ha,1992,86
British Columbia,1.1 - 10 ha,1992,268
British Columbia,0.11 - 1.0 ha,1992,722
British Columbia,Up to 0.1 ha,1992,2695
British Columbia,1000.1 - 10 000 ha,1991,5
British Columbia,100.1 - 1 000 ha,1991,28
British Columbia,10.1 - 100 ha,1991,80
British Columbia,1.1 - 10 ha,1991,274
British Columbia,0.11 - 1.0 ha,1991,378
British Columbia,Up to 0.1 ha,1991,1249
British Columbia,1000.1 - 10 000 ha,1990,10
British Columbia,10 000.1 - 100 000 ha,1990,2
British Columbia,100.1 - 1 000 ha,1990,40
British Columbia,10.1 - 100 ha,1990,122
British Columbia,1.1 - 10 ha,1990,315
British Columbia,0.11 - 1.0 ha,1990,666
British Columbia,Up to 0.1 ha,1990,2100
Manitoba,Unspecified,2021,460
Manitoba,1000.1 - 10 000 ha,2020,6
Manitoba,10 000.1 - 100 000 ha,2020,1
Manitoba,100.1 - 1 000 ha,2020,16
Manitoba,10.1 - 100 ha,2020,30
Manitoba,1.1 - 10 ha,2020,42
Manitoba,0.11 - 1.0 ha,2020,33
Manitoba,Up to 0.1 ha,2020,27
Manitoba,1000.1 - 10 000 ha,2019,7
Manitoba,10 000.1 - 100 000 ha,2019,2
Manitoba,100.1 - 1 000 ha,2019,29
Manitoba,10.1 - 100 ha,2019,67
Manitoba,1.1 - 10 ha,2019,59
Manitoba,0.11 - 1.0 ha,2019,66
Manitoba,Up to 0.1 ha,2019,54
Manitoba,1000.1 - 10 000 ha,2018,25
Manitoba,10 000.1 - 100 000 ha,2018,5
Manitoba,100.1 - 1 000 ha,2018,43
Manitoba,10.1 - 100 ha,2018,73
Manitoba,1.1 - 10 ha,2018,93
Manitoba,0.11 - 1.0 ha,2018,122
Manitoba,Up to 0.1 ha,2018,122
Manitoba,1000.1 - 10 000 ha,2017,40
Manitoba,10 000.1 - 100 000 ha,2017,5
Manitoba,100.1 - 1 000 ha,2017,68
Manitoba,10.1 - 100 ha,2017,81
Manitoba,1.1 - 10 ha,2017,88
Manitoba,0.11 - 1.0 ha,2017,140
Manitoba,Up to 0.1 ha,2017,144
Manitoba,1000.1 - 10 000 ha,2016,7
Manitoba,10 000.1 - 100 000 ha,2016,1
Manitoba,100.1 - 1 000 ha,2016,23
Manitoba,10.1 - 100 ha,2016,35
Manitoba,1.1 - 10 ha,2016,49
Manitoba,0.11 - 1.0 ha,2016,42
Manitoba,Up to 0.1 ha,2016,50
Manitoba,1000.1 - 10 000 ha,2015,17
Manitoba,100.1 - 1 000 ha,2015,42
Manitoba,10.1 - 100 ha,2015,64
Manitoba,1.1 - 10 ha,2015,129
Manitoba,0.11 - 1.0 ha,2015,102
Manitoba,Up to 0.1 ha,2015,109
Manitoba,1000.1 - 10 000 ha,2014,7
Manitoba,100.1 - 1 000 ha,2014,20
Manitoba,10.1 - 100 ha,2014,31
Manitoba,1.1 - 10 ha,2014,47
Manitoba,0.11 - 1.0 ha,2014,70
Manitoba,Up to 0.1 ha,2014,71
Manitoba,Over 100 000 ha,2013,2
Manitoba,1000.1 - 10 000 ha,2013,31
Manitoba,10 000.1 - 100 000 ha,2013,23
Manitoba,100.1 - 1 000 ha,2013,44
Manitoba,10.1 - 100 ha,2013,55
Manitoba,1.1 - 10 ha,2013,86
Manitoba,0.11 - 1.0 ha,2013,130
Manitoba,Up to 0.1 ha,2013,125
Manitoba,1000.1 - 10 000 ha,2012,29
Manitoba,10 000.1 - 100 000 ha,2012,6
Manitoba,100.1 - 1 000 ha,2012,43
Manitoba,10.1 - 100 ha,2012,65
Manitoba,1.1 - 10 ha,2012,84
Manitoba,0.11 - 1.0 ha,2012,157
Manitoba,Up to 0.1 ha,2012,115
Manitoba,1000.1 - 10 000 ha,2011,6
Manitoba,10 000.1 - 100 000 ha,2011,4
Manitoba,100.1 - 1 000 ha,2011,13
Manitoba,10.1 - 100 ha,2011,23
Manitoba,1.1 - 10 ha,2011,64
Manitoba,0.11 - 1.0 ha,2011,104
Manitoba,Up to 0.1 ha,2011,109
Manitoba,1000.1 - 10 000 ha,2010,24
Manitoba,10 000.1 - 100 000 ha,2010,4
Manitoba,100.1 - 1 000 ha,2010,43
Manitoba,10.1 - 100 ha,2010,52
Manitoba,1.1 - 10 ha,2010,126
Manitoba,0.11 - 1.0 ha,2010,172
Manitoba,Up to 0.1 ha,2010,168
Manitoba,100.1 - 1 000 ha,2009,6
Manitoba,10.1 - 100 ha,2009,25
Manitoba,1.1 - 10 ha,2009,47
Manitoba,0.11 - 1.0 ha,2009,60
Manitoba,Up to 0.1 ha,2009,48
Manitoba,1000.1 - 10 000 ha,2008,18
Manitoba,10 000.1 - 100 000 ha,2008,3
Manitoba,100.1 - 1 000 ha,2008,15
Manitoba,10.1 - 100 ha,2008,41
